,SCHB,SCHA,SCHH,SCHF,SCHE,SCHZ,SCHP,DSUM
SCHB,1.0,0.945912984963,0.742120439997,0.882979901661,0.815878006239,-0.266158526915,-0.256620183654,0.154745080707
SCHA,0.945912984963,1.0,0.733344448155,0.816747249858,0.769100547714,-0.244902704742,-0.234600189853,0.171553874843
SCHH,0.742120439997,0.733344448155,1.0,0.664917881595,0.677818910592,-0.0308950485714,-0.0112763532247,0.214410708607
SCHF,0.882979901661,0.816747249858,0.664917881595,1.0,0.866161809602,-0.238552199585,-0.195727494337,0.157641186806
SCHE,0.815878006239,0.769100547714,0.677818910592,0.866161809602,1.0,-0.163005205783,-0.127835490977,0.159564325691
SCHZ,-0.266158526915,-0.244902704742,-0.0308950485714,-0.238552199585,-0.163005205783,1.0,0.717988540368,0.0297762165247
SCHP,-0.256620183654,-0.234600189853,-0.0112763532247,-0.195727494337,-0.127835490977,0.717988540368,1.0,-0.0141725972819
DSUM,0.154745080707,0.171553874843,0.214410708607,0.157641186806,0.159564325691,0.0297762165247,-0.0141725972819,1.0
